개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,주소,구정보,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3000000,3000000-102-2010-00010,2010-09-03,,1,영업/정상,1,영업,,,,,,,110-841,서울특별시 종로구 창신동 378번지 2층 ,종로구,3121,황제,2018-11-28 11:30,U,40:00.0,룸살롱,201089.9891,452192.646,룸살롱,,,기타,,,,,,,,,,,N,69.61,,,
3000000,3000000-102-2010-00013,2010-11-08,,1,영업/정상,1,영업,,,,,,22.4,110-836,서울특별시 종로구 종로5가 231-20번지 (3층) ,종로구,3197,마산,2019-10-28 15:08,U,40:00.0,요정,200312.7285,452034.6198,요정,,,,,,,,,,,,,,N,22.4,,,
3000000,3000000-102-2010-00016,2010-12-28,,1,영업/정상,1,영업,,,,,02  744 8456,81.94,110-842,서울특별시 종로구 창신동 436-73번지 (지하1층) ,종로구,3120,MJ(엠제이),2019-04-29 11:57,U,40:00.0,룸살롱,201302.8838,451982.3885,룸살롱,2,2,학교정화(상대),,,,,,,,,,,N,81.94,,,
3000000,3000000-102-2011-00003,2011-04-13,,1,영업/정상,1,영업,,,,,,,110-835,서울특별시 종로구 종로5가 54번지 (지상1층) ,종로구,3126,이미지 노래장,2015-09-15 14:55,I,59:59.0,룸살롱,200197.5793,452129.3207,룸살롱,,,,,,,,,,,,,,N,99.88,,,
3000000,3000000-102-2011-00004,2011-04-14,,1,영업/정상,1,영업,,,,,,,110-126,서울특별시 종로구 종로6가 124-1번지 (지상2층) ,종로구,3124,아레나,2017-09-04 14:46,I,59:59.0,룸살롱,200554.4228,452128.0297,룸살롱,,,,,,,,,,,,,,N,80.86,,,
3000000,3000000-102-2007-00004,2007-03-13,,1,영업/정상,1,영업,,,,,22773360,92.72,110-836,서울특별시 종로구 종로5가 332-7번지 지상2층 ,종로구,3196,파티파티,2020-03-17 16:17,U,40:00.0,룸살롱,200137.8951,451994.5544,룸살롱,0,0,학교정화(상대),,,,,,,,,,,N,92.72,,,
3000000,3000000-102-2007-00005,2007-05-03,,1,영업/정상,1,영업,,,,,222657267,,110-430,서울특별시 종로구 장사동 2번지 ,종로구,3193,종로노래주점,2007-05-03 0:00,I,59:59.0,룸살롱,199261.5323,451953.0419,룸살롱,0,0,기타,,,,,,,,,,,N,46.27,,,
3000000,3000000-102-2008-00001,2008-04-11,,1,영업/정상,1,영업,,,,,,92.48,110-450,서울특별시 종로구 원남동 282 지하1층 ,종로구,3136,스카이(SKY),2023-04-10 13:36,U,40:00.0,비어(바)살롱,199689.7457,452449.2788,비어(바)살롱,0,0,,,,0,0,0,0,0,,0,0,N,92.48,,,
3000000,3000000-102-2008-00002,2008-05-28,,1,영업/정상,1,영업,,,,,,,110-126,서울특별시 종로구 종로6가 244-15번지 (지상3층) ,종로구,3125,상상,2013-02-25 16:31,I,59:59.0,룸살롱,200487.2698,452159.9004,룸살롱,2,,학교정화(상대),,상수도전용,,,,,,,,,N,62.35,,,
3000000,3000000-102-2003-00013,2003-07-08,,1,영업/정상,1,영업,,,,,,55.51,110-835,서울특별시 종로구 종로5가 38-1 지상2층 ,종로구,3126,춘향이,2024-12-18 13:34,U,40:00.0,룸살롱,200263.9717,452127.9204,룸살롱,0,1,유흥업소밀집지역,자율,상수도전용,0,0,0,0,0,,0,0,N,55.51,,,
3000000,3000000-102-2001-12242,2001-11-30,,1,영업/정상,1,영업,,,,,02 7627426,,110-850,서울특별시 종로구 효제동 186번지 ,종로구,3126,삼천궁녀,2010-06-22 10:05,I,59:59.0,룸살롱,200314.3847,452142.2011,룸살롱,0,0,,,상수도전용,,,,,,,,,N,29.48,,,
3000000,3000000-102-2001-12243,2001-12-05,,1,영업/정상,1,영업,,,,,,,110-126,서울특별시 종로구 종로6가 123-1번지 ,종로구,3124,별무리,2018-03-16 14:29,I,59:59.0,룸살롱,200567.883,452120.7841,룸살롱,1,1,기타,기타,,,,,,,,,,N,94.5,,,
3000000,3000000-102-2001-12244,2001-12-14,,1,영업/정상,1,영업,,,,,02 7414982,145.7,110-320,서울특별시 종로구 낙원동 148  (지하1층) ,종로구,3139,원투쓰리,2024-10-11 14:07,U,40:00.0,룸살롱,199002.7071,452158.8704,룸살롱,,,,,,,,,,,,,,N,145.7,,,
3000000,3000000-102-2001-12246,2001-12-19,,1,영업/정상,1,영업,,,,,,,110-160,서울특별시 종로구 공평동 60번지 ,종로구,,체리,2004-08-10 0:00,I,59:59.0,룸살롱,,,룸살롱,0,0,,,,,,,,,,,,N,0,,,
3000000,3000000-102-2002-00007,2002-04-19,,1,영업/정상,1,영업,,,,,236721672,,110-835,서울특별시 종로구 종로5가 113번지 ,종로구,3129,폭스노래주점,2011-12-28 14:46,I,59:59.0,룸살롱,199939.6918,452167.2043,룸살롱,0,0,기타,,상수도전용,,,,,,,,,N,61.4,,,
3000000,3000000-102-2002-00009,2002-04-29,,1,영업/정상,1,영업,,,,,,,110-320,서울특별시 종로구 낙원동 25번지  (지하1층) ,종로구,3132,한국특선갤러리,2016-10-11 16:12,I,59:59.0,룸살롱,198886.9444,452419.4296,룸살롱,,,,,,,,,,,,,,N,374.13,,,
3000000,3000000-102-2002-00010,2002-05-07,,1,영업/정상,1,영업,,,,,,90,110-111,서울특별시 종로구 관철동 19-19 ,종로구,3189,박카스,2024-08-05 14:54,U,40:00.0,룸살롱,198585.2908,451888.1324,룸살롱,0,0,,,상수도전용,0,0,0,0,0,,0,0,Y,90,,,
3000000,3000000-102-2011-00009,2011-05-20,,1,영업/정상,1,영업,,,,,,,110-807,서울특별시 종로구 돈의동 45-1번지 지하(1층) ,종로구,3133,여명,2015-12-16 17:08,I,59:59.0,룸살롱,199093.1052,452268.9283,룸살롱,,,기타,,,,,,,,,,,N,95.9,,,
3000000,3000000-102-2002-00004,2002-03-29,,1,영업/정상,1,영업,,,,,,64.65,110-420,서울특별시 종로구 관수동 12-0,종로구,3191,마돈나,2025-03-26 13:49,U,08:00.0,룸살롱,198991.1863,451915.3259,,,,,,,,,,,,,,,,,,,
3000000,3000000-102-2012-00004,2012-06-05,,1,영업/정상,1,영업,,,,,02  22611278,,110-836,서울특별시 종로구 종로5가 231-1번지 (지상1층) ,종로구,3197,둥지Ⅱ,2018-03-21 14:48,I,59:59.0,요정,200365.8523,452054.0146,요정,,,유흥업소밀집지역,,,,,,,,,,,N,26.68,,,
3000000,3000000-102-2008-00003,2008-06-30,,1,영업/정상,1,영업,,,,,,92.52,110-480,"서울특별시 종로구 효제동 233-3번지 ,236번지 (지하1층) ",종로구,3126,루비주점,2019-04-29 17:02,U,40:00.0,룸살롱,200243.0985,452156.6467,룸살롱,,,학교정화(상대),,상수도전용,,,,,,,,,N,92.52,,,
3000000,3000000-102-2008-00004,2008-09-05,,1,영업/정상,1,영업,,,,,02  22675738,46.96,110-836,서울특별시 종로구 종로5가 231-20번지 (지상1~2층) ,종로구,3197,마산댁,2019-10-28 15:03,U,40:00.0,룸살롱,200312.7285,452034.6198,룸살롱,0,2,학교정화(상대),,상수도전용,,,,,,,,,N,46.96,,,
3000000,3000000-102-2008-00005,2008-10-22,,1,영업/정상,1,영업,,,,,02 7656188,,110-835,서울특별시 종로구 종로5가 104-9번지 ,종로구,3129,궁전,2018-10-15 10:18,U,59:59.0,기타,199986.2491,452134.7144,기타,,,학교정화(상대),,상수도전용,,,,,,,,,N,103.59,,,
